weather_code,weather_cn,weather_en,weather_hk,weather_tw,weather_type,definition
1,晴,Clear,晴,晴,晴,天空无云或总云量<1成，阳光充足，能见度≥10km
2,多云,Partly Cloudy,多雲,多雲,多云,总云量4-7成，天空被云遮蔽但仍有间隙可见蓝天
3,阴,Overcast,陰,陰天,阴,总云量≥8成，天空被云完全遮蔽，无阳光直射
4,轻雾,Mist,薄霧,輕霧,雾,悬浮微小水滴，水平能见度1-10km，相对湿度80-95%，比雾稀薄
5,雾,Fog,霧,霧,雾,悬浮近地面的大量水滴，水平能见度<1km，相对湿度近100%，呈乳白色
6,霾,Haze,霾,霾,霾,悬浮干尘粒、烟粒等，水平能见度<10km，空气混浊呈灰黄色，相对湿度<80%
7,浮尘,Floating Dust,浮塵,浮塵,沙尘,沙尘粒悬浮空中，水平能见度<10km，多来自远方沙尘源地，本地无风或微风
8,扬沙,Blowing Sand,揚沙,揚沙,沙尘,本地或附近强风卷起沙尘，能见度1-10km，空气混浊呈黄色，风速一般≥5m/s
9,沙尘暴,Sandstorm,沙塵暴,沙塵暴,沙尘,强风卷起大量沙尘，水平能见度<1km，空气浑浊，对呼吸系统危害大
10,强沙尘暴,Severe Sandstorm,強沙塵暴,強沙塵暴,沙尘,极强风卷起大量沙尘，能见度<200m，空气呈橙黄色，天空昏暗，严重危害健康
11,雨,Rain,雨,雨,雨,液态水滴从云中降落至地面，直径一般>0.5mm，24小时降水量≥0.1mm（总称）
12,零星小雨,Drizzle,零星小雨,零星小雨,雨,极小液态水滴（直径<0.5mm）降落，降水强度极弱（<0.1mm/h），似雾但可湿地面
13,阵雨,Freezing Rain,凍雨,凍雨,雨,过冷水滴接触地面/物体立即冻结，形成透明冰层，对电力/交通危害极大
14,雷阵雨,Thundershower,雷陣雨,雷陣雨,雨,雷暴伴随明显降雨（通常阵雨形式），闪电频繁，雨强大但历时较短
15,小雨,Light Rain,小雨,小雨,雨,24小时降水量0.1-9.9mm，或小时雨强<2.5mm，雨滴清晰可辨
16,中雨,Moderate Rain,中雨,中雨,雨,24小时降水量10.0-24.9mm，或小时雨强2.5-8.0mm，雨声淅沥
17,大雨,Heavy Rain,大雨,大雨,雨,24小时降水量25.0-49.9mm，或小时雨强>8.0mm，雨声哗啦
18,暴雨,Storm,暴雨,暴雨,雨,24小时降水量50.0-99.9mm，或小时雨强≥16mm，雨如倾盆，能见度极低
19,大暴雨,Severe Rain,大暴雨,大暴雨,雨,24小时降水量100.0-249.9mm，或小时雨强≥40mm，可致城市内涝、山洪
20,特大暴雨,Extreme Rain,特大暴雨,特大暴雨,雨,24小时降水量≥250mm，或小时雨强≥70mm，属灾害性天气，可致严重洪涝
21,雨夹雪,Sleet,雨夾雪,雨夾雪,雨夹雪,雨滴与雪花同时降落，或雨与霰（冰粒）混合，地面无积雪
22,雪,Snow,雪,雪,雪,固态降水，白色不透明冰晶（雪花）从云中降落，温度<0°C时地面可见积雪（总称）
23,零星小雪,Snow Grains,零星小雪,零星小雪,雪,极细小白色冰粒（直径<1mm）降落，似雾非雾，落地不弹起，不融化，呈霰状
24,阵雪,Snow Showers,陣雪,陣雪,雪,降雪强度变化快，开始/终止突然，雪片忽大忽小，历时短，常伴阵性风吹
25,吹雪,Blowing Snow,吹雪,吹雪,雪,强风将地面积雪卷起（而非天降），能见度<10km，多出现于雪后大风天气
26,小雪,Light Snow,小雪,小雪,雪,24小时降雪量0.1-2.4mm（或雪深<3cm），雪花细小稀疏
27,中雪,Moderate Snow,中雪,中雪,雪,24小时降雪量2.5-4.9mm（或雪深3-5cm），雪片明显可见，有簌簌声
28,大雪,Heavy Snow,大雪,大雪,雪,24小时降雪量5.0-9.9mm（或雪深≥5cm），雪片纷飞，能见度<500m
29,暴雪,Blizzard,暴雪,暴雪,雪,24小时降雪量10.0-19.9mm（或雪深≥10cm），伴强烈吹雪，能见度<200m
30,大暴雪,Heavy Blizzard,大暴雪,大暴雪,雪,24小时降雪量20.0-29.9mm（或雪深≥20cm），交通瘫痪，电力中断风险高
31,特大暴雪,Extreme Snow,特大暴雪,特大暴雪,雪,24小时降雪量≥30mm（或雪深≥30cm），属极端灾害，建筑物压塌风险
32,冰雹,Hail,冰雹,冰雹,冰雹,坚硬冰粒（直径≥5mm），呈球形/圆锥形，常伴随雷暴，对农业/车辆破坏性强
33,冻雨,Freezing Rain,凍雨,凍雨,冻雨,过冷水滴接触地面/物体立即冻结，形成透明冰层，对电力/交通危害极大
34,雷暴,Thunderstorm,雷暴,雷暴,雷暴,积雨云产生的放电现象（闪电/雷），伴随强烈上升气流，可能有大风/降水
35,大风,Strong Wind/Gale,大風,強風,风,10分钟平均风速≥10.8m/s（6级）或阵风≥17m/s
36,龙卷风,Tornado,龍捲風,龍捲風,风,强烈旋转小空气涡旋（直径数米至数百米），风速可达100m/s+，路径狭长破坏极大
